action_sim,avg_similarity,cve_1,cve_2,reason_sim,vendor_1,vendor_2
0.9993002056787312,0.9984525821074175,CVE-2024-1751,CVE-2022-4290,0.9976049585361039,Themeum,karevn
0.9993002056787312,0.9984525821074175,CVE-2024-0956,CVE-2022-4290,0.9976049585361039,wedevs,karevn
0.9993002056787312,0.9984525821074175,CVE-2022-4290,CVE-2024-0610,0.9976049585361039,karevn,enartia
0.9971082620523517,0.9983853061331146,CVE-2024-1797,CVE-2022-2717,0.9996623502138775,alimir,beardev
0.9971082620523517,0.9983853061331146,CVE-2022-2717,CVE-2024-7857,0.9996623502138775,beardev,maxfoundry
0.9971082620523517,0.9983853061331146,CVE-2024-6338,CVE-2022-2717,0.9996623502138775,foliovision,beardev
0.9971082620523517,0.9983853061331146,CVE-2024-2344,CVE-2022-2717,0.9996623502138775,ThemeFusion,beardev
0.9971082620523517,0.9983853061331146,CVE-2024-1981,CVE-2022-2717,0.9996623502138775,wpvividplugins,beardev
0.9968060539038565,0.998234202058867,CVE-2022-2717,CVE-2024-0610,0.9996623502138775,beardev,enartia
0.9968060539038565,0.998234202058867,CVE-2024-1751,CVE-2022-2717,0.9996623502138775,Themeum,beardev
