avg_cvss,example_cves,max_cvss,reason_cluster,reason_node_count,representative_reason,representative_reason_vuln_count,top_reason_members,total_cve_count
7.61,"[""CVE-2020-0782"", ""CVE-2020-16968"", ""CVE-2020-16892"", ""CVE-2020-16915"", ""CVE-2020-0911"", ""CVE-2020-1558"", ""CVE-2020-1521"", ""CVE-2020-0766""]",8.8,21,33,improper handling of objects in memory,14,"[{""reason"": ""improper handling of objects in memory"", ""max_cvss"": 7.8, ""freq"": 14, ""avg_cvss"": 7.56, ""cves"": [""CVE-2020-0782"", ""CVE-2020-16968"", ""CVE-2020-16892"", ""CVE-2020-16915"", ""CVE-2020-0911"", ""CVE-2020-1558""]}, {""reason"": ""improper memory handling"", ""max_cvss"": 7.8, ""freq"": 7, ""avg_cvss"": 7.8, ""cves"": [""CVE-2020-1521"", ""CVE-2020-0766"", ""CVE-2020-1535"", ""CVE-2020-1538"", ""CVE-2020-1549"", ""CVE-2020-1530""]}, {""reason"": ""improper handling of memory"", ""max_cvss"": 7.8, ""freq"": 5, ""avg_cvss"": 7.8, ""cves"": [""CVE-2020-1516"", ""CVE-2020-1536"", ""CVE-2020-1546"", ""CVE-2020-1540"", ""CVE-2020-1519""]}, {""reason"": ""improper handling of file operations"", ""max_cvss"": 7.8, ""freq"": 4, ""avg_cvss"": 7.8, ""cves"": [""CVE-2020-1534"", ""CVE-2020-0764"", ""CVE-2020-1537"", ""CVE-2020-1511""]}, {""reason"": ""Fails to properly handle objects in memory"", ""max_cvss"": 7.8, ""freq"": 4, ""avg_cvss"": 7.53, ""cves"": [""CVE-2020-16931"", ""CVE-2020-1047"", ""CVE-2020-1245"", ""CVE-2020-16947""]}]",55
7.31,"[""CVE-2024-28896"", ""CVE-2023-33170"", ""CVE-2024-20665"", ""CVE-2024-21427"", ""CVE-2022-33631"", ""CVE-2024-28903"", ""CVE-2024-26171"", ""CVE-2020-17130""]",8.2,1,10,Security feature bypass,4,"[{""reason"": ""Security feature bypass"", ""max_cvss"": 8.1, ""freq"": 4, ""avg_cvss"": 7.3, ""cves"": [""CVE-2024-28896"", ""CVE-2023-33170"", ""CVE-2024-20665"", ""CVE-2024-21427""]}, {""reason"": ""Security feature can be bypassed"", ""max_cvss"": 7.3, ""freq"": 2, ""avg_cvss"": 7.0, ""cves"": [""CVE-2022-33631"", ""CVE-2024-28903""]}, {""reason"": ""Bypass vulnerability"", ""max_cvss"": 6.7, ""freq"": 2, ""avg_cvss"": 6.6, ""cves"": [""CVE-2024-26171"", ""CVE-2020-17130""]}, {""reason"": ""Unknown security feature bypass"", ""max_cvss"": 8.2, ""freq"": 1, ""avg_cvss"": 8.2, ""cves"": [""CVE-2021-34469""]}, {""reason"": ""Security feature bypass vulnerability"", ""max_cvss"": 8.1, ""freq"": 1, ""avg_cvss"": 8.1, ""cves"": [""CVE-2021-33781""]}]",15
7.89,"[""CVE-2024-38034"", ""CVE-2021-33783"", ""CVE-2024-21417"", ""CVE-2024-21398"", ""CVE-2024-38142"", ""CVE-2021-40452"", ""CVE-2020-17070"", ""CVE-2022-37987""]",8.8,3,7,Unspecified in the description,2,"[{""reason"": ""Unspecified in the description"", ""max_cvss"": 7.8, ""freq"": 2, ""avg_cvss"": 7.15, ""cves"": [""CVE-2024-38034"", ""CVE-2021-33783""]}, {""reason"": ""Unknown from given description"", ""max_cvss"": 8.8, ""freq"": 1, ""avg_cvss"": 8.8, ""cves"": [""CVE-2024-21417""]}, {""reason"": ""Not specified in the description"", ""max_cvss"": 8.8, ""freq"": 1, ""avg_cvss"": 8.8, ""cves"": [""CVE-2024-21398""]}, {""reason"": ""The specific reason is not detailed in the description."", ""max_cvss"": 7.8, ""freq"": 1, ""avg_cvss"": 7.8, ""cves"": [""CVE-2024-38142""]}, {""reason"": ""Undisclosed"", ""max_cvss"": 7.8, ""freq"": 1, ""avg_cvss"": 7.8, ""cves"": [""CVE-2021-40452""]}]",8
8.84,"[""CVE-2020-16952"", ""CVE-2020-1210"", ""CVE-2020-1576"", ""CVE-2020-16951"", ""CVE-2020-1453""]",9.9,30,2,fails to check the source markup of an application package,4,"[{""reason"": ""fails to check the source markup of an application package"", ""max_cvss"": 9.9, ""freq"": 4, ""avg_cvss"": 8.9, ""cves"": [""CVE-2020-16952"", ""CVE-2020-1210"", ""CVE-2020-1576"", ""CVE-2020-16951""]}, {""reason"": ""software fails to check the source markup of an application package"", ""max_cvss"": 8.6, ""freq"": 1, ""avg_cvss"": 8.6, ""cves"": [""CVE-2020-1453""]}]",5
8.22,"[""CVE-2020-16946"", ""CVE-2020-16945"", ""CVE-2020-16872"", ""CVE-2020-16944"", ""CVE-2020-1198""]",8.7,38,3,does not properly sanitize a specially crafted web request,3,"[{""reason"": ""does not properly sanitize a specially crafted web request"", ""max_cvss"": 8.7, ""freq"": 3, ""avg_cvss"": 8.33, ""cves"": [""CVE-2020-16946"", ""CVE-2020-16945"", ""CVE-2020-16872""]}, {""reason"": ""SharePoint Server does not properly sanitize a specially crafted request"", ""max_cvss"": 8.7, ""freq"": 1, ""avg_cvss"": 8.7, ""cves"": [""CVE-2020-16944""]}, {""reason"": ""does not properly sanitize specially crafted web requests"", ""max_cvss"": 7.4, ""freq"": 1, ""avg_cvss"": 7.4, ""cves"": [""CVE-2020-1198""]}]",5
7.58,"[""CVE-2020-1488"", ""CVE-2020-17074"", ""CVE-2021-25195"", ""CVE-2023-29346"", ""CVE-2021-40476""]",7.8,18,4,Improper Privilege Management,2,"[{""reason"": ""Improper Privilege Management"", ""max_cvss"": 7.8, ""freq"": 2, ""avg_cvss"": 7.4, ""cves"": [""CVE-2020-1488"", ""CVE-2020-17074""]}, {""reason"": ""Design or implementation flaw allowing elevation of privilege"", ""max_cvss"": 7.8, ""freq"": 1, ""avg_cvss"": 7.8, ""cves"": [""CVE-2021-25195""]}, {""reason"": ""Insufficient privilege controls"", ""max_cvss"": 7.8, ""freq"": 1, ""avg_cvss"": 7.8, ""cves"": [""CVE-2023-29346""]}, {""reason"": ""insufficient privilege separation or sandboxing"", ""max_cvss"": 7.5, ""freq"": 1, ""avg_cvss"": 7.5, ""cves"": [""CVE-2021-40476""]}]",5
8.47,"[""CVE-2021-1667"", ""CVE-2024-35256"", ""CVE-2022-41031""]",8.8,61,2,Vulnerability in code execution,2,"[{""reason"": ""Vulnerability in code execution"", ""max_cvss"": 8.8, ""freq"": 2, ""avg_cvss"": 8.8, ""cves"": [""CVE-2021-1667"", ""CVE-2024-35256""]}, {""reason"": ""Vulnerability in the Word software allowing remote code execution"", ""max_cvss"": 7.8, ""freq"": 1, ""avg_cvss"": 7.8, ""cves"": [""CVE-2022-41031""]}]",3
7.3,"[""CVE-2020-16994"", ""CVE-2020-16991"", ""CVE-2020-16987""]",7.3,24,3,Unsigned code execution allowed,1,"[{""reason"": ""Unsigned code execution allowed"", ""max_cvss"": 7.3, ""freq"": 1, ""avg_cvss"": 7.3, ""cves"": [""CVE-2020-16994""]}, {""reason"": ""Allows execution of code that is not signed, potentially bypassing security mechanisms"", ""max_cvss"": 7.3, ""freq"": 1, ""avg_cvss"": 7.3, ""cves"": [""CVE-2020-16991""]}, {""reason"": ""Code is unsigned"", ""max_cvss"": 7.3, ""freq"": 1, ""avg_cvss"": 7.3, ""cves"": [""CVE-2020-16987""]}]",3
8.15,"[""CVE-2020-16898"", ""CVE-2020-16899""]",8.8,28,2,improper handling of ICMPv6 Router Advertisement packets,1,"[{""reason"": ""improper handling of ICMPv6 Router Advertisement packets"", ""max_cvss"": 8.8, ""freq"": 1, ""avg_cvss"": 8.8, ""cves"": [""CVE-2020-16898""]}, {""reason"": ""The TCP/IP stack improperly handles ICMPv6 Router Advertisement packets"", ""max_cvss"": 7.5, ""freq"": 1, ""avg_cvss"": 7.5, ""cves"": [""CVE-2020-16899""]}]",2
10.0,"[""CVE-2020-1467""]",10.0,49,1,Windows improperly handles hard links,1,"[{""reason"": ""Windows improperly handles hard links"", ""max_cvss"": 10.0, ""freq"": 1, ""avg_cvss"": 10.0, ""cves"": [""CVE-2020-1467""]}]",1
